Nations,Feeling of Responsibility,Obedience,Hard Work,Imagination,Independence,Perseverance,Tolerance,Unselfishness
"Argentina (1,03)","57,3","35,3","40,6","31,4","44,1","25,1","58,2","42,3"
Brazil (1.486),"77,9","51,5","64,1","24,4","37,6","28,2","64,2","31,5"
Chile (1),"76,9","45,8","30,5","22,2","49,2","53,6",82,"42,7"
"China (2,3)","65,9","7,5","75,3",17,"69,7",26,"52,2","29,2"
"Taiwan (1,238)","82,4","11,1","40,4","18,7","72,3",28,"77,4","24,4"
"Colombia (1,512)",82,"66,4","13,6","20,8","36,4","24,3","86,4","45,8"
"Estonia (1,533)","88,4","62,7","87,5","36,8","54,5","69,4","84,5","42,5"
"Germany (2,046)","80,9","12,6","17,9","29,5","73,5","59,6","66,7","5,9"
Hong Kong (1),"79,3","17,7",58,"18,8","72,6",43,"69,2","15,1"
"Indian Union (4,078)","90,5","89,9","94,6","69,2","89,9","84,7","89,3","81,1"
"Japan (2,443)","87,3",5,"35,1","31,6","67,7","67,8","64,6","45,1"
"Kazakhstan (1,5)",75,"32,9","84,7","12,4","43,7","44,7",60,"29,7"
"Jordan (2,443)","73,1","56,2","39,5","14,8","43,6","27,4","76,5","36,5"
Korea Republic (1.2),"87,8","91,3","64,3","14,5","57,8","54,5","40,8","10,5"
Mexico (2),"74,9","45,5",38,"23,8","38,5",27,"77,9","43,5"
"Morocco (1,2)","63,8","70,8","67,1","23,9",43,"19,2","56,6","25,3"
New Zealand (841),"56,1","75,9","50,2","36,3","53,5","48,5","83,1","36,6"
"Pakistan (1,2)","62,3",50,"55,7","31,2","43,1","35,9","52,8","36,6"
"Peru (1,21)","71,3","52,3","16,5","16,7","33,3","23,4","67,6","38,6"
"Romania (1,503)","70,4",13,"77,3","32,7","42,2","29,9","65,2","12,6"
"Russian Federation (2,5)","77,5","34,8","84,5","16,5","37,8","45,4","63,5","22,6"
"Singapore (1,972)","69,7","37,5","60,8","18,8","72,1","44,3","54,1",26
"South Africa (3,531)","57,4","37,2","70,2","28,1","63,5","35,3","52,5","27,8"
"Spain (1,189)","78,6","31,4","66,6","24,8","43,1","37,5","74,1",35
"Sweden (1,206)","82,5","12,2","13,8","46,7","70,3","33,6",87,"30,4"
"Thailand (1,2)","65,7","44,2","78,3","23,3","35,9","50,3","64,7","44,3"
"Turkey (1,605)","66,5","33,9",72,"28,3",35,38,"61,4","27,7"
"Ukraine (1,5)","75,5","42,3","85,8",13,"42,8","39,4",59,"19,9"
"USA (2,232)","65,2","27,9","66,4","30,5","53,6","35,7","71,8","32,7"
Uruguay (1),"81,6","51,6","21,8","19,8","48,2",35,82,"52,9"
"TOTAL (49,455)","74,6","37,9","59,6","28,1","55,4","43,3","67,9",35
